2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:18:41,753 ERROR yfinance: $AUUDW: possibly delisted; no timezone found
2026-07-29 17:18:42,355 ERROR yfinance: $AVACW: possibly delisted; no timezone found
2026-07-29 17:18:43,000 ERROR yfinance: $AVAN.WS: possibly delisted; no timezone found
2026-07-29 17:18:43,701 ERROR yfinance: $AVCT: possibly delisted; no timezone found
2026-07-29 17:18:44,015 ERROR yfinance: $AVCTW: possibly delisted; no timezone found
2026-07-29 17:18:44,303 ERROR yfinance: $AVDL: possibly delisted; no timezone found
2026-07-29 17:18:44,607 ERROR yfinance: $AVEO: possibly delisted; no timezone found
2026-07-29 17:18:44,913 ERROR yfinance: $AVGR: possibly delisted; no timezone found
2026-07-29 17:18:45,208 ERROR yfinance: $AVHIW: possibly delisted; no timezone found
2026-07-29 17:18:46,348 ERROR yfinance: $AVRO: possibly delisted; no timezone found
2026-07-29 17:18:46,661 ERROR yfinance: $AVTE: possibly delisted; no timezone found
2026-07-29 17:18:47,582 ERROR yfinance: $AVYA: possibly delisted; no timezone found
2026-07-29 17:18:47,891 ERROR yfinance: $AWH: possibly delisted; no timezone found
2026-07-29 17:18:48,850 ERROR yfinance: $AXAC.WS: possibly delisted; no timezone found
2026-07-29 17:18:49,202 ERROR yfinance: $AXACR: possibly delisted; no timezone found
2026-07-29 17:18:49,491 ERROR yfinance: $AXAS: possibly delisted; no timezone found
2026-07-29 17:18:49,827 ERROR yfinance: $AXDX: possibly delisted; no timezone found
2026-07-29 17:18:50,425 ERROR yfinance: $AXGT: possibly delisted; no timezone found
2026-07-29 17:18:51,161 ERROR yfinance: $AXH.WS: possibly delisted; no timezone found
2026-07-29 17:18:51,623 ERROR yfinance: $AXLA: possibly delisted; no timezone found
2026-07-29 17:18:52,362 ERROR yfinance: $AXU: possibly delisted; no timezone found
2026-07-29 17:18:52,714 ERROR yfinance: $AYLA: possibly delisted; no timezone found
2026-07-29 17:18:53,001 ERROR yfinance: $AYRO: possibly delisted; no timezone found
2026-07-29 17:18:53,916 ERROR yfinance: $AZRE: possibly delisted; no timezone found
2026-07-29 17:18:54,252 ERROR yfinance: $AZRX: possibly delisted; no timezone found
2026-07-29 17:18:54,564 ERROR yfinance: $AZYO: possibly delisted; no timezone found
2026-07-29 17:18:55,224 ERROR yfinance: $BACA.WS: possibly delisted; no timezone found
2026-07-29 17:18:56,649 ERROR yfinance: $BARK.WS: possibly delisted; no timezone found
2026-07-29 17:18:57,990 ERROR yfinance: $BBAI.WS: possibly delisted; no timezone found
2026-07-29 17:19:00,683 ERROR yfinance: $BBI: possibly delisted; no timezone found
2026-07-29 17:19:01,220 ERROR yfinance: $BBIGV: possibly delisted; no timezone found
2026-07-29 17:19:02,697 ERROR yfinance: $BBLN: possibly delisted; no timezone found
2026-07-29 17:19:03,003 ERROR yfinance: $BBLN.WS: possibly delisted; no timezone found
2026-07-29 17:19:03,331 ERROR yfinance: $BBQ: possibly delisted; no timezone found
2026-07-29 17:19:04,005 ERROR yfinance: $BBU: possibly delisted; no timezone found
2026-07-29 17:19:05,068 ERROR yfinance: $BCAC: possibly delisted; no timezone found
2026-07-29 17:19:05,307 ERROR yfinance: $BCACU: possibly delisted; no price data found  (1d 1927-08-23 -> 2026-07-29)
2026-07-29 17:19:05,670 ERROR yfinance: $BCACW: possibly delisted; no timezone found
2026-07-29 17:19:05,931 ERROR yfinance: $BCAN: possibly delisted; no timezone found
2026-07-29 17:19:06,547 ERROR yfinance: BCDAW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:19:06,888 ERROR yfinance: $BCEL: possibly delisted; no timezone found
2026-07-29 17:19:08,582 ERROR yfinance: $BCSAW: possibly delisted; no timezone found
2026-07-29 17:19:10,837 ERROR yfinance: $BDR: possibly delisted; no timezone found
2026-07-29 17:19:11,205 ERROR yfinance: $BDSI: possibly delisted; no timezone found
2026-07-29 17:19:13,192 ERROR yfinance: $BEDU: possibly delisted; no timezone found
2026-07-29 17:19:13,889 ERROR yfinance: $BEEMW: possibly delisted; no timezone found
2026-07-29 17:19:14,657 ERROR yfinance: $BENER: possibly delisted; no timezone found
2026-07-29 17:19:15,027 ERROR yfinance: $BENEW: possibly delisted; no timezone found
2026-07-29 17:19:16,515 ERROR yfinance: $BEST: possibly delisted; no timezone found
2026-07-29 17:19:16,855 ERROR yfinance: $BFAC.WS: possibly delisted; no timezone found
2026-07-29 17:19:17,207 ERROR yfinance: $BFIIW: possibly delisted; no timezone found
2026-07-29 17:19:17,517 ERROR yfinance: $BFLY.WS: possibly delisted; no timezone found
2026-07-29 17:19:18,629 ERROR yfinance: $BFT.WS: possibly delisted; no timezone found
2026-07-29 17:19:19,411 ERROR yfinance: $BGIO: possibly delisted; no timezone found
2026-07-29 17:19:19,752 ERROR yfinance: $BGRYW: possibly delisted; no timezone found
2026-07-29 17:19:20,103 ERROR yfinance: $BGSX.WS: possibly delisted; no timezone found
2026-07-29 17:19:20,456 ERROR yfinance: $BGXX: possibly delisted; no timezone found
2026-07-29 17:19:20,762 ERROR yfinance: $BHACW: possibly delisted; no timezone found
2026-07-29 17:19:21,137 ERROR yfinance: $BHAT: possibly delisted; no timezone found
