2026-07-29 19:32:45,510 INFO corporate_actions: 6873 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 19:35:55,334 ERROR yfinance: $ASAQ.WS: possibly delisted; no timezone found
2026-07-29 19:35:55,671 ERROR yfinance: $ASAXW: possibly delisted; no timezone found
2026-07-29 19:35:56,624 ERROR yfinance: $ASCA: possibly delisted; no timezone found
2026-07-29 19:35:56,987 ERROR yfinance: $ASCAR: possibly delisted; no timezone found
2026-07-29 19:35:57,332 ERROR yfinance: $ASCAU: possibly delisted; no timezone found
2026-07-29 19:35:57,690 ERROR yfinance: $ASCAW: possibly delisted; no timezone found
2026-07-29 19:35:58,051 ERROR yfinance: $ASCBR: possibly delisted; no timezone found
2026-07-29 19:35:58,439 ERROR yfinance: $ASCBW: possibly delisted; no timezone found
2026-07-29 19:35:59,103 ERROR yfinance: $ASLEW: possibly delisted; no timezone found
2026-07-29 19:35:59,441 ERROR yfinance: $ASLN: possibly delisted; no timezone found
2026-07-29 19:36:01,446 ERROR yfinance: $ASPA: possibly delisted; no timezone found
2026-07-29 19:36:01,797 ERROR yfinance: $ASPAU: possibly delisted; no timezone found
2026-07-29 19:36:02,207 ERROR yfinance: $ASPAW: possibly delisted; no timezone found
2026-07-29 19:36:02,771 ERROR yfinance: ASPCR: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:36:03,392 ERROR yfinance: $ASPCW: possibly delisted; no timezone found
2026-07-29 19:36:03,916 ERROR yfinance: $ASPL.WS: possibly delisted; no timezone found
2026-07-29 19:36:08,209 ERROR yfinance: $ASTR: possibly delisted; no timezone found
2026-07-29 19:36:08,543 ERROR yfinance: $ASTRW: possibly delisted; no timezone found
2026-07-29 19:36:09,154 ERROR yfinance: ASTSW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:36:09,439 ERROR yfinance: $ASXC: possibly delisted; no timezone found
2026-07-29 19:36:10,177 ERROR yfinance: $ASZ.WS: possibly delisted; no timezone found
2026-07-29 19:36:10,520 ERROR yfinance: $AT: possibly delisted; no timezone found
2026-07-29 19:36:10,783 ERROR yfinance: $ATA.WS: possibly delisted; no timezone found
2026-07-29 19:36:11,369 ERROR yfinance: $ATAK: possibly delisted; no timezone found
2026-07-29 19:36:11,697 ERROR yfinance: $ATAKR: possibly delisted; no timezone found
2026-07-29 19:36:12,029 ERROR yfinance: $ATAKW: possibly delisted; no timezone found
2026-07-29 19:36:12,391 ERROR yfinance: $ATAQ.WS: possibly delisted; no timezone found
2026-07-29 19:36:12,671 ERROR yfinance: $ATAX: possibly delisted; no timezone found
2026-07-29 19:36:13,279 ERROR yfinance: $ATCOPH: possibly delisted; no timezone found
2026-07-29 19:36:14,068 ERROR yfinance: $ATCXW: possibly delisted; no timezone found
2026-07-29 19:36:14,791 ERROR yfinance: $ATEK.WS: possibly delisted; no timezone found
2026-07-29 19:36:16,538 ERROR yfinance: $ATHA: possibly delisted; no timezone found
2026-07-29 19:36:17,242 ERROR yfinance: $ATHN.WS: possibly delisted; no timezone found
